Date,Open,High,Low,Close,Adj Close,Volume,EMA10,EMA30,ATR,ADX,RSI,MACD,MACDsignal,ClgtEMA10,EMA10gtEMA30,MACDSIGgtMACD,target_cls
2001-03-29,1160.5,1173.25,1143.75,1161.5,1161.5,147604,1167.4434273470324,1212.1283591227889,30.57243492589683,42.87722696905259,40.08113754776653,-32.421270751598286,-35.937411311796225,-1,-1,-1,1
2001-03-30,1161.0,1175.0,1151.5,1174.0,1174.0,124217,1168.6355314657535,1209.6684649858346,30.067261002618483,42.23799417357809,43.25434459548468,-29.79812405479902,-34.70955386039678,1,-1,-1,0
2001-04-02,1173.0,1178.75,1145.25,1149.75,1149.75,141934,1165.2017984719805,1205.8027575673937,30.31245664528859,41.803513912813976,38.94534173201501,-29.33784531451693,-33.63521215122081,-1,-1,-1,0
2001-04-03,1150.75,1153.75,1106.5,1108.5,1108.5,188781,1154.8923805679838,1199.5251603049812,31.52228117062512,42.23792576948613,32.934971414883066,-31.93349193891686,-33.29486810876002,-1,-1,-1,1
2001-04-04,1109.0,1126.25,1098.5,1112.5,1112.5,186025,1147.1846750101686,1193.910633833692,31.25283251558047,42.78739841968402,33.99867130028414,-33.284115454456014,-33.29271757789922,-1,-1,-1,1
2001-04-05,1113.0,1161.25,1113.0,1155.0,1155.0,161660,1148.605643190138,1191.4002703605506,32.502630193039,41.62641854892855,44.13689148189702,-30.572676722135384,-32.74870940674645,1,-1,-1,0
2001-04-06,1156.0,1165.25,1126.5,1140.5,1140.5,182660,1147.13188988284,1188.1163819501926,32.94887089353622,40.378047972608506,41.77896390632216,-29.256618721347195,-32.0502912696666,-1,-1,-1,1
2001-04-09,1138.0,1155.25,1133.5,1150.25,1150.25,179040,1147.698818995051,1185.6733895663092,32.14895154399792,39.21884672316846,43.947395913959845,-27.114332609944995,-31.06309953772228,1,-1,-1,1
2001-04-10,1149.75,1182.5,1149.5,1172.0,1172.0,179040,1152.1172155414054,1184.7912354007408,32.20974071942664,36.9932433589177,48.550846073946765,-23.39186534192413,-29.52885269856265,1,-1,-1,1
2001-04-11,1173.0,1194.0,1166.0,1173.25,1173.25,169708,1155.9595399884226,1184.046639568435,31.90904495375332,34.49729168064476,48.81104133450107,-20.10911331892271,-27.644904822634665,1,-1,-1,1
2001-04-12,1173.5,1194.0,1163.0,1192.25,1192.25,144921,1162.557805445073,1184.575888628536,31.844113171342364,32.287267193547905,52.724706356227344,-15.79232340552926,-25.274388539213582,1,-1,-1,0
2001-04-16,1192.5,1195.25,1173.75,1182.0,1182.0,131826,1166.0927499096051,1184.4097022654046,31.105247944817908,30.18438460828008,50.48236366758169,-13.047917366197908,-22.829094304610447,1,-1,-1,1
2001-04-17,1180.25,1200.75,1167.0,1195.5,1195.5,169897,1171.4395226533134,1185.125205345056,31.294158805902345,28.49779814133357,53.29947594146043,-9.67212440243452,-20.197700324175266,1,-1,-1,1
2001-04-18,1206.0,1267.5,1206.0,1246.25,1246.25,170538,1185.0414276254382,1189.0687404840846,34.20171889119504,28.199979958094413,62.04196231297118,-2.868615676951322,-16.731883394730474,1,-1,-1,1
2001-04-19,1249.0,1262.5,1238.5,1258.75,1258.75,155757,1198.442986238995,1193.5643056141437,33.47302468468111,27.923434502229487,63.83764094067179,3.491610426227453,-12.687184630538887,1,1,-1,0
2001-04-20,1260.25,1268.0,1240.25,1251.5,1251.5,140825,1208.089716013723,1197.302092348715,33.06423720720388,27.81236869769777,62.00546364431394,7.856555544943149,-8.57843659544248,1,1,-1,0
2001-04-23,1251.0,1252.0,1222.5,1226.0,1226.0,133867,1211.3461312839552,1199.1535702617011,32.809648835260745,26.93590619485897,55.92567149678121,9.15266291094622,-5.03221669416474,1,1,-1,0
2001-04-24,1226.0,1239.5,1213.75,1216.5,1216.5,143201,1212.283198323236,1200.2726947609465,32.30538820417069,25.763008118204407,53.80886709719383,9.305993036322208,-2.1645747480673503,1,1,-1,1
2001-04-25,1216.5,1238.5,1212.75,1232.0,1232.0,143786,1215.868071355375,1202.3196176795948,31.837146189587067,24.63184647252693,56.689298371904606,10.556539510205766,0.3796481035872734,1,1,-1,1
2001-04-26,1231.0,1254.0,1225.5,1240.5,1240.5,130242,1220.3466038362158,1204.782868151879,31.59877860461656,24.10675477032297,58.227664031912,12.094072622106523,2.722533007291124,1,1,-1,1
2001-04-27,1241.0,1259.75,1238.0,1258.0,1258.0,106105,1227.1926758659947,1208.2162314969191,30.89529441857252,23.80579825580337,61.27720753065362,14.556879788158769,5.089402363464652,1,1,-1,0
2001-04-30,1258.75,1274.75,1248.25,1254.25,1254.25,135317,1232.112189344905,1211.186152045505,30.58134481724592,23.992701707003484,60.26197084269659,16.02139389502986,7.275800669777693,1,1,-1,1
2001-05-01,1253.25,1273.25,1245.75,1272.25,1272.25,165317,1239.4099731003766,1215.1257551393433,30.36124875887121,24.03605641365086,63.39679624927966,18.42212268081176,9.505065071984506,1,1,-1,0
2001-05-02,1271.5,1278.25,1261.5,1271.0,1271.0,140114,1245.1536143548535,1218.7305451303534,29.38901670466612,24.238528269143632,63.02496844501705,19.99338172744069,11.602728403075742,1,1,-1,0
2001-05-03,1270.75,1272.25,1243.5,1254.25,1254.25,140114,1246.8075026539711,1221.022122863879,29.343372654332825,23.4789933345964,58.10692954416709,19.660397997848577,13.21426232203031,1,1,-1,1
2001-05-04,1253.75,1274.0,1235.0,1272.75,1272.75,155024,1251.524320353249,1224.3594052597578,30.033131750451908,22.364009847231223,61.66501384757734,20.65124666557176,14.7016591907386,1,1,-1,0
2001-05-07,1273.5,1274.75,1262.75,1263.5,1263.5,134219,1253.7017166526584,1226.8846049204185,28.74505091113392,21.36008922801854,58.96822594315363,20.454319021587708,15.852191156908422,1,1,-1,0
2001-05-08,1266.25,1277.0,1256.0,1263.5,1263.5,125078,1255.4832227158115,1229.24688847394,28.19183298891007,20.0856905414815,58.96822594315362,20.06693332876148,16.695139591279034,1,1,-1,0
2001-05-09,1265.5,1265.5,1250.75,1257.75,1257.75,135964,1255.8953640402094,1231.085798894976,27.23170206113078,18.66383049863894,57.165871241677536,19.076053559979982,17.171322385019224,1,1,-1,1
2001-05-10,1257.0,1273.75,1256.25,1261.5,1261.5,118278,1256.9143887601713,1233.0480054178809,26.536580485335723,17.72581592072762,58.06606485439393,18.38147763218853,17.413353434453086,1,1,-1,0
2001-05-11,1261.5,1265.25,1243.5,1251.75,1251.75,111010,1255.9754089855946,1234.2545857135017,26.19468187924032,16.717822317238888,54.83909927107322,16.85004090662892,17.30069092888825,-1,1,1,1
